2020-05-05T19:34:27.419+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0_201)
2020-05-05T19:34:27.419+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> Accept-Encoding: gzip,deflate
2020-05-05T19:34:27.420+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 >> "POST /session/267c4e8519d88a79111d7f4e9694f899/window/current/maximize HTTP/1.1[\r][\n]"
2020-05-05T19:34:27.420+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
2020-05-05T19:34:27.420+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 >> "Content-Length: 26[\r][\n]"
2020-05-05T19:34:27.420+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 >> "Host: localhost:6328[\r][\n]"
2020-05-05T19:34:27.421+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]"
2020-05-05T19:34:27.421+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 >> "User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0_201)[\r][\n]"
2020-05-05T19:34:27.421+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2020-05-05T19:34:27.421+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 >> "[\r][\n]"
2020-05-05T19:34:27.421+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 >> "{"windowHandle":"current"}"
2020-05-05T19:34:28.614+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
2020-05-05T19:34:28.615+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 << "Content-Length:109[\r][\n]"
2020-05-05T19:34:28.615+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 << "Content-Type:application/json; charset=utf-8[\r][\n]"
2020-05-05T19:34:28.615+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 << "[\r][\n]"
2020-05-05T19:34:28.616+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 << "{"sessionId":"267c4e8519d88a79111d7f4e9694f899","status":0,"value":{"height":744,"width":1382,"x":-8,"y":-8}}"
2020-05-05T19:34:28.616+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 << HTTP/1.1 200 OK
2020-05-05T19:34:28.616+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 << Content-Length:109
2020-05-05T19:34:28.617+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 << Content-Type:application/json; charset=utf-8
2020-05-05T19:34:28.617+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | MainClientExec | Connection can be kept alive indefinitely
